"season"	"week_num"	"day_of_week"	"gametime_local"	"home_team"	"away_team"	"home_score"	"away_score"	"OT_flag"	"arrests"	"division_game"
"767"	2015	15	"Sunday"	"4:25:00 PM"	"Pittsburgh"	"Denver"	34	27	""	5	"n"
"298"	2015	6	"Sunday"	"1:00:00 PM"	"Detroit"	"Chicago"	37	34	"OT"	NA	"y"
"259"	2015	10	"Sunday"	"2:25:00 PM"	"Denver"	"Kansas City"	13	29	""	4	"y"
"93"	2013	13	"Sunday"	"1:00:00 PM"	"Carolina"	"Tampa Bay"	27	6	""	0	"y"
"490"	2014	13	"Sunday"	"7:30:00 PM"	"Kansas City"	"Denver"	16	29	""	5	"y"
"493"	2015	2	"Thursday"	"7:30:00 PM"	"Kansas City"	"Denver"	24	31	""	2	"y"
"176"	2015	2	"Sunday"	"1:00:00 PM"	"Cincinnati"	"San Diego"	24	19	""	1	"n"
"389"	2011	12	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Carolina"	19	27	""	7	"n"
"58"	2014	4	"Sunday"	"1:00:00 PM"	"Baltimore"	"Carolina"	38	10	""	5	"n"
"541"	2012	7	"Sunday"	"4:25:00 PM"	"New England"	"New York Jets"	29	26	"OT"	4	"y"
"903"	2013	2	"Sunday"	"4:05:00 PM"	"Tampa Bay"	"New Orleans"	14	16	""	2	"y"
"377"	2015	3	"Sunday"	"12:00:00 PM"	"Houston"	"Tampa Bay"	19	9	""	1	"n"
"708"	2013	11	"Sunday"	"1:00:00 PM"	"Philadelphia"	"Washington"	24	16	""	3	"y"
"473"	2012	11	"Sunday"	"12:00:00 PM"	"Kansas City"	"Cincinnati"	6	28	""	0	"n"
"987"	2013	12	"Monday"	"8:40:00 PM"	"Washington"	"San Francisco"	6	27	""	4	"n"
"230"	2011	15	"Sunday"	"2:15:00 PM"	"Denver"	"New England"	23	41	""	0	"n"
"796"	2014	11	"Sunday"	"1:05:00 PM"	"San Diego"	"Oakland"	13	6	""	19	"y"
"950"	2013	17	"Sunday"	"12:00:00 PM"	"Tennessee"	"Houston"	16	10	""	0	"y"
"254"	2014	14	"Sunday"	"2:05:00 PM"	"Denver"	"Buffalo"	24	17	""	4	"n"
"329"	2014	5	"Thursday"	"7:25:00 PM"	"Green Bay"	"Minnesota"	42	10	""	4	"y"
"882"	2015	6	"Sunday"	"1:05:00 PM"	"Seattle"	"Carolina"	23	27	""	1	"n"
"565"	2015	7	"Sunday"	"1:00:00 PM"	"New England"	"New York Jets"	30	23	""	3	"y"
"1003"	2015	10	"Sunday"	"1:00:00 PM"	"Washington"	"New Orleans"	47	14	""	2	"n"
"299"	2015	7	"Sunday"	"1:00:00 PM"	"Detroit"	"Minnesota"	19	28	""	NA	"y"
"121"	2012	3	"Sunday"	"12:00:00 PM"	"Chicago"	"St. Louis"	23	6	""	1	"n"
"481"	2013	8	"Sunday"	"12:00:00 PM"	"Kansas City"	"Cleveland"	23	17	""	3	"n"
"835"	2014	9	"Sunday"	"1:05:00 PM"	"San Francisco"	"St. Louis"	10	13	""	25	"y"
"626"	2012	16	"Sunday"	"1:00:00 PM"	"New York Jets"	"San Diego"	17	27	""	18	"n"
"421"	2015	12	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Tampa Bay"	25	12	""	0	"n"
"653"	2011	6	"Sunday"	"1:05:00 PM"	"Oakland"	"Cleveland"	24	17	""	7	"n"
"779"	2012	9	"Thursday"	"5:20:00 PM"	"San Diego"	"Kansas City"	31	13	""	40	"y"
"38"	2015	14	"Thursday"	"6:30:00 PM"	"Arizona"	"Minnesota"	23	20	""	0	"n"
"343"	2015	17	"Sunday"	"7:30:00 PM"	"Green Bay"	"Minnesota"	13	20	""	11	"y"
"935"	2012	1	"Sunday"	"12:00:00 PM"	"Tennessee"	"New England"	13	34	""	0	"n"
"400"	2013	1	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Oakland"	21	17	""	0	"n"
"1004"	2015	12	"Sunday"	"1:00:00 PM"	"Washington"	"New York Giants"	20	14	""	2	"y"
"396"	2012	9	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Miami"	23	20	""	4	"n"
"183"	2015	17	"Sunday"	"1:00:00 PM"	"Cincinnati"	"Baltimore"	24	16	""	0	"y"
"190"	2011	14	"Sunday"	"7:20:00 PM"	"Dallas"	"New York Giants"	34	37	""	0	"y"
"191"	2011	16	"Saturday"	"3:15:00 PM"	"Dallas"	"Philadelphia"	7	20	""	0	"y"
"501"	2012	3	"Sunday"	"1:00:00 PM"	"Miami"	"New York Jets"	20	23	""	4	"y"
"280"	2013	1	"Sunday"	"1:00:00 PM"	"Detroit"	"Minnesota"	34	24	""	NA	"y"
"752"	2014	1	"Sunday"	"1:00:00 PM"	"Pittsburgh"	"Cleveland"	30	27	""	9	"y"
"828"	2013	10	"Sunday"	"1:05:00 PM"	"San Francisco"	"Carolina"	9	10	""	1	"n"
"543"	2012	11	"Sunday"	"4:25:00 PM"	"New England"	"Indianapolis"	59	24	""	3	"n"
